"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202109120atl","GainKe00","RB","Kenneth Gainwell","PHI",0,0,0,0,0,0,0,0,0,9,37,1,8,3,2,6,0,9,0,0,9,9,0,9,"PHI","ATL",0,0,0,0,0,0,12.3,12.3,11.3,11.3,11.3,11.3,0,0,0,0,35,2,0,-3,10,0,25,35,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","SmitDe07","WR","DeVonta Smith","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,71,1,19,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,19.1,19.1,16.1,16.1,16.1,16.1,0,0,0,0,0,0,0,56,17,0,62,87,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","ReagJa00","WR","Jalen Reagor","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,49,1,23,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,16.9,16.9,13.9,13.9,13.9,13.9,0,0,0,0,0,0,0,6,43,0,50,70,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","GoedDa00","TE","Dallas Goedert","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,42,1,13,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,14.2,14.2,12.2,12.2,12.2,12.2,0,0,0,0,0,0,0,34,18,0,52,73,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","ErtzZa00","TE","Zach Ertz","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,34,0,28,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,5.4,5.4,4.4,4.4,4.4,4.4,0,0,0,0,0,0,0,31,3,0,41,58,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","WatkQu00","WR","Quez Watkins","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,0,11,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,5.3,5.3,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,-6.9,30,0,34,48,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","RyanMa00","QB","Matt Ryan","ATL",21,35,164,0,0,3,28,18,71.6,2,8,0,8,0,0,0,0,0,0,1,1,40,39,1,"ATL","PHI",0,0,0,0,0,0,7.36,7.36,7.36,7.36,7.36,7.36,179,9,4,3,8,0,0,0,0,0,70,97,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","HurtJa00","QB","Jalen Hurts","PHI",27,35,264,3,0,1,3,28,126.4,7,62,0,14,0,0,0,0,0,0,3,4,43,39,4,"PHI","ATL",0,0,0,0,0,0,28.76,28.76,28.76,28.76,28.76,28.76,128,2,14,4,51,11,1,0,0,0,71,100,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","HursHa00","TE","Hayden Hurst","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,28,0,9,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,6.8,6.8,4.8,4.8,4.8,4.8,0,0,0,0,0,0,0,10,18,0,43,60,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","GageRu00","WR","Russell Gage","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,49,68,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","StolJa00","TE","Jack Stoll","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
"202109120atl","SmitLe00","TE","Lee Smith","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","PHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
